id,rodada,num_comments,views
I8NKXi4aoxE,1,957,775290
v-e_5mHOBdI,1,152,100089
Wli77j_au6c,1,2553,1221219
uruWA79AmMw,1,2185,1788125
JvlrWaXKCKU,1,2786,1267618
deODK5cSwHU,1,278,115187
9E7j3TJsVVM,1,1471,602629
NIkH9IpGyPs,2,1244,923992
hvL7_wTtPzo,2,1685,1312033
qsWVm7tukOY,2,237,146900
oyc4Fp3k_Lg,2,2436,1072930
UWcO4V1My-A,2,5196,2385429
lrWcg4MfB24,2,730,283271
jJIHhTRkd84,2,2048,1371197
N27srU6Gud8,2,790,389869
4V0x08bzStw,2,3060,963378
SIbyF-fuxp0,3,655,388901
_qgRIrmfU20,3,3095,1177011
IrYyQKEfYqs,3,2608,1473290
uXCZxWnxbmU,3,595,500659
h6as7KHQfWE,3,1293,739407
ENVPqj3OYLU,3,5272,2570836
x34Jn_uUz8c,3,628,315810
x34Jn_uUz8c,3,628,315810
ihMfSbPG5OE,3,667,429113
EJ_n2PB5QVw,3,1448,660381
o75UjMT3S3c,4,2131,1028805
UAdqlL9Ta9I,4,1836,1491692
hj8Yif7Ly44,4,568,311461
o_V1PkXDyEs,4,2491,810664
DUpLbmH62fU,4,1515,1249528
4o1RQg3azIo,4,711,357840
_VoKOsF41Ak,4,2487,854855
qtwodxQwhdc,4,1444,1162200
pLByAFU4uZw,4,1548,959138
jfN6kUrdqW0,4,1673,1245248
k91ojMextVc,5,975,460280
7q6MgCu7wOc,5,126,132432
omm_9rKWmO0,5,742,401857
PAC7p2Jg8EY,5,660,357367
p54b83Fr3I8,5,1064,1017468
J6cxWtbNAPo,5,2255,1325631
Ab8yFyqtHQo,5,1600,890632
vPtcuUvgovw,5,519,342258
PepRWyEoun0,5,2742,1426385
Bu-enW6FK2M,5,583,274737
9dQSeQ4q2nI,6,2938,1469191
tHqk5QF_gIU,6,711,430454
iw2uQ8dEIuE,6,1104,631339
EfA8UUy4FmU,6,797,852854
R9qw29SfbiA,6,1475,474345
8YjMw7afGb4,6,3203,1125024
0Y6LBpayQlk,6,518,169785
W457m3FkF7w,6,1517,727390
iDQl3LpR-LM,6,358,219701
E3n9WEsm2xU,7,268,227624
DX1S233fSW8,7,369,240795
qtCXKI13Ykc,7,361,259200
3WrVN9SAthA,7,1796,811217
xaDhdH26GX0,7,1436,481520
ZbNk5XSpDaI,7,2667,1840530
yO4VPjrt6Ws,7,962,443037
HZogEtjdWIg,7,3244,2447966
trdUsEUHATM,7,2358,1912474
rm6QmVD32iI,7,1456,611352
AML0OkI9dh4,8,423,237424
iR1T3GM6wbA,8,1148,616323
v9HY-2H4DcQ,8,2591,1550096
Jn2MsAjBkpA,8,105,114551
Vft0kdWGYEE,8,1593,1064175
yogGxspNprw,8,2990,2011740
2Qqw2eSfsH8,8,696,315319
XzRRuVPzbnI,8,441,187965
KLrxQfQYs9k,8,2239,1028670
iKxvvZ77RRE,8,974,454361
PijCj3jBG2M,9,383,137104
WtBwtw4OuEY,9,2245,1096891
fuRDJcnLmEE,9,2963,728980
0hk6FAa-hhs,9,412,374888
R8EpqebdXeg,9,554,474734
5fsXlFFhAdg,9,1496,795681
rAivMCFNXpc,9,324,183639
fsb3hdFbVU8,9,814,496659
wO0n2Rc1s80,9,3897,2686263
_MB-SCfSGbs,10,296,130701
jEsc2ySCPV0,10,1566,864526
sDZ9Nf2O6t4,10,993,418449
lmwEnRh7FEs,10,1317,552561
6CRfI7Epodc,10,471,241525
sjx6lzIJKs0,10,1075,455278
B4wESwdGLqM,10,2107,1080924
UfCtSMKe6kw,10,462,384133
9dpnJRrZ-Qo,11,880,802899
KZ8FehVCqvs,11,519,260179
AsJZbFxs1p8,11,1243,1157567
C6nbZ6muN2s,11,2703,865169
u3aj497YT2Y,11,652,415925
TJwptQZM7v8,11,989,595227
JqBorEKVev8,11,845,349321
qj9AN1PEiG4,11,405,189374
mB2lDn43xRs,11,893,265497
2S-m_HySl04,11,5102,1356562
qxNulbdWAvg,12,617,241351
vH0q9g5CA8g,12,603,485351
h9HlsKo1vRo,12,741,457504
ql__UfFI0jU,12,1194,708880
rxnFFj8pxXU,12,2897,976947
754NaPM6xxc,12,885,732506
jusoT-jenSQ,12,559,269872
5FXvX2mPjP0,12,1765,1453486
9faykKm-NNo,12,125,96082
qkwZ9LlhqII,12,948,542538
OtJbR5NLgJ4,13,1387,1018310
rxUzegPiKYM,13,1722,1602075
aNusHZp-F7s,13,1018,617460
lsbwNZGBNJs,13,778,273964
2mvyQ2ozRTA,13,1247,541264
OYSv4ocKJes,13,575,443838
esOxZyD0Yxo,13,1193,571932
GwD4J7d6mLw,13,1580,689634
kjzwhedD_9U,13,788,288884
sFkliCCl-h8,13,748,272472
mZ4uAAjH9gg,14,322,176549
VBlP7vvT9SM,15,848,348477
2Pbxo4mFLb8,15,1326,955410
vfWEXQmCzzk,14,549,249001
37ieZKq9gnQ,14,3598,2401789
UxI5XJQszT8,14,2885,728923
JHdl_MaaWbg,14,263,189046
qkm0_n9vszo,14,598,474587
2ffAdoUFPpE,14,3399,1170189
llJrTI6Jr-g,14,374,261249
nMcN5IPljwY,15,546,224666
F5VWycfkjyo,15,486,190232
_9jlaY7gRfc,15,877,406546
DYsEAkrAm68,15,207,107157
cBYZ5qCbmTQ,15,431,172806
sr2T7GZeCP8,16,1507,830824
uq-pmKZSl3Q,16,758,428059
MLo5zDcCUNs,16,1100,561320
p5M4WqU91Hw,16,1442,702041
M_DVQtTK3HE,16,260,130447
kTrbM2YT1Ek,16,337,208247
hOTWykI0364,16,1689,701406
51SHWOapQ_w,16,1332,514337
5d5WxkaUJjo,16,1155,379827
pfABJ30vQw8,17,639,361055
EsU0LVwN9rQ,17,1070,537963
G6IMDUbjw0M,17,425,214239
iReFc_gwOi4,17,1460,1466288
3vDMkYk8M7Y,17,207,120207
3VWzL0bOYfg,17,4217,3139813
24HhvqAKmUA,17,938,312841
0OWGvwwY1BM,17,2180,1014371
7NTn6Gsim18,17,558,245401
HVYSgqMs6eo,18,479,224990
lchnVMCLGKs,18,1486,986355
rcBCrwJmgdI,18,334,144948
CyGLFmlO7PU,18,1516,1073556
CWp78UoAow8,18,1612,868748
Fz1pCBWVEzU,18,1854,997811
PpTsEJBuEbc,18,733,325334
QXZnxsbxP2I,18,154,77024
NeAq068msrk,18,2597,1128326
Ox-nkfqPuZI,18,352,233962
9IVLwIucagc,19,2539,1456173
ririyaOGla0,19,474,312819
yuqSzNDzJgI,19,150,83211
prqFVF1G8qg,19,1009,681673
tkg-tDMu3A0,19,1280,1032004
6U6rSYRv9EQ,19,1574,644398
8v4JtoNq_yg,19,4127,1622925
8QG-PFHCsoQ,19,1321,538732
D1W9DUk-x-I,19,707,311608
z_1I4_aM7Cg,20,696,277088
9gfyGApWGBY,20,1140,459730
DFM35bBMtng,20,728,597351
2rcK6pBk92c,20,520,325595
aBwgIsuVFzY,20,1426,927591
NQ1jRkjQ_q0,20,1610,713912
7osEfcMom6A,20,1783,1472061
aiyw-Ivlt6I,20,1649,777224
SACcFEpRqCo,20,882,347893
WjpLMB_DysM,20,330,166552
9GmVqKSK4SE,21,1347,509239
v29iiPP8Khc,21,1041,668344
ZvxT9R8CatM,21,153,110841
YkndJ196Ci0,21,1453,552833
r84HfWkg-O0,21,887,370898
G3qG2jqI4Zo,21,375,183307
OI2HO6MfmiU,21,1875,656756
sPdyQLFQr5c,21,304,131446
WoKQtmYBHgY,21,1564,613226
