id,rodada,num_comments,views
OL0mCbsIxPo,10,4290,1856607
iuoMGv3BMrI,16,5490,1641810
YbEWNG7APXQ,1,2174,525165
HsMLbUObiaw,12,3359,1671822
SMkM5s2g02c,18,3610,1583449
2nSJKKP5vjo,17,2878,890938
axaWk1aEac0,11,508,352079
gg43fZJi2pA,8,1776,825985
XhYm-YF-REA,7,2006,607756
Ao-Iz5w1Y2U,6,1790,611915
ZVFH1l_enr4,4,831,248815
vkeRD_RG1ZY,3,1141,248878
h4hKFuvZy60,14,1655,469948
RC3tyanXxtQ,9,708,306958
mGEWZtkCPkQ,15,1513,593459
omVrn8xu4w4,19,3513,1693926
Vf3zAF-UfUw,13,1564,1091964
1GSAk5fXeQs,2,498,150255
3KaScgjSH_0,5,732,185751
T9V4_u2zTiE,1,2863,1345150
9kf9J0_jtc0,6,1161,944795
EQ7Xtny45b4,14,4098,2453457
s780c6fctyg,5,2873,841315
iR8jX-iLaV8,9,4258,995373
LquUFV6kJYs,3,1194,631723
9XIg_bpEnbc,19,3121,2601500
1YM30eFUCSs,18,8868,3983713
Bc-LdHrIDvs,17,2870,833439
sCuDQBanw0I,15,15143,3232628
m4_md7WJKgU,13,11179,7139759
XL_zou6fF70,4,9568,2738933
Dsd2lEx-dMA,8,2380,1087898
1wEcJsoCIxI,7,4789,1148813
bjAWCDspqRI,2,3393,2269968
_h1fr1hsXsI,12,5443,3996996
t8_RGGeV2Ck,16,1802,1046006
Meo4zFEPwjQ,11,2959,1924980
IjVm5W3OCwY,15,4694,1465273
Eg0tNdlVB-k,3,2062,686260
vKwjWZFzYkg,6,1426,564615
Rdtu37uekCU,13,1903,820808
BCbTluRLnNM,5,988,450578
g3St2C5IHew,12,1871,918432
rPrrHrbIzDM,11,2369,1182340
_lF7EoMmTEw,19,1271,738436
y3Owl08ifM0,8,1967,1246471
8lPjCoPk8oY,14,4538,1093242
KyA01MDX5wM,18,1114,693223
qgMzZv6FAew,17,3925,1047336
XQ0XifjR9uQ,4,1161,637986
gM_HrfDlty4,10,1968,924195
qBXFQsRYcwE,7,2146,776030
kzoP72c59dM,9,849,453654
K9DJ4K2IiIs,2,459,297453
SQd9OdZ32do,11,1846,556586
tMSwi9U9ClM,13,860,366142
9bBtELbOP2g,5,638,204860
rhyqmt9GuU8,10,796,473857
m1NDyirKDXU,4,425,54411
hXCFfoFYcZU,16,774,208584
uri6rzQu0so,14,1491,401796
OSDFPv1kMe4,2,4657,1472888
NDX7FbESEEQ,12,2029,900270
nb6tO9Y74H8,9,885,290179
T1IXGta9c74,18,796,211628
LFgzIX4_xN8,17,709,226932
p72wbnt-Uws,19,2442,1205493
X524eNVFHYA,3,883,191502
VjZBNwocN5s,8,1118,542745
tMkCNA9LIuo,4,1323,451287
UJety0EceGo,7,1082,412453
75vedfgRTQQ,2,632,234095
oelrfIpH7-c,1,1014,243604
WyhKkNp0hz8,15,1187,363544
zJaUK3HerbY,16,2448,1377527
twSdZgVphr8,9,2259,964269
QFy_csQG_oA,8,1332,387988
s93GXOXp9UU,17,1153,593810
Fg-qiHCZu_c,13,1595,678156
5_mG9SPXhdQ,19,2560,1058418
MIvB4No81HA,18,3013,1358145
wMZdSa7OezM,6,853,509706
2MrQRGE6KsY,10,1503,686326
4FnZu5oa2j0,3,331,117184
KKWFR50HQg8,17,432,282669
juBulzczzgU,7,1390,464230
vs67cT_E5z4,12,1134,631591
tE3tXFg_M60,8,561,231843
AYKy2frZjBg,19,1183,728257
ZIE78GVnc4w,9,2757,1005684
b4Dmeihh5jY,11,560,349438
cEcqgSCpb5Y,10,465,241542
YyfIJTverys,16,933,383796
39cHfMy4voo,14,1005,439854
p7nmV0U1MHY,2,871,312975
TqckZE83ZZI,15,544,171885
Hdcn6ukypz0,1,265,140725
fjT70kAu4bc,15,311,178907
