label,id,rodada
CAMxFLA-1turno-2021,OL0mCbsIxPo,10
CAMxPAL-1turno-2021,iuoMGv3BMrI,16
CAMxFOR-1turno-2021,YbEWNG7APXQ,1
CAMxCOR-1turno-2021,HsMLbUObiaw,12
CAMxRBB-1turno-2021,SMkM5s2g02c,18
CAMxFLU-1turno-2021,2nSJKKP5vjo,17
CAMxAMG-1turno-2021,axaWk1aEac0,11
CAMxACG-1turno-2021,gg43fZJi2pA,8
CAMxSAN-1turno-2021,XhYm-YF-REA,7
CAMxCEA-1turno-2021,Ao-Iz5w1Y2U,6
CAMxINT-1turno-2021,ZVFH1l_enr4,4
CAMxSAO-1turno-2021,vkeRD_RG1ZY,3
CAMxCAP-1turno-2021,h4hKFuvZy60,14
CAMxCUI-1turno-2021,RC3tyanXxtQ,9
CAMxJUV-1turno-2021,mGEWZtkCPkQ,15
CAMxGRE-1turno-2021,omVrn8xu4w4,19
CAMxBAH-1turno-2021,Vf3zAF-UfUw,13
CAMxSPT-1turno-2021,1GSAk5fXeQs,2
CAMxCHA-1turno-2021,3KaScgjSH_0,5
FLAxPAL-1turno-2021,T9V4_u2zTiE,1
FLAxFOR-1turno-2021,9kf9J0_jtc0,6
FLAxCOR-1turno-2021,EQ7Xtny45b4,14
FLAxRBB-1turno-2021,s780c6fctyg,5
FLAxFLU-1turno-2021,iR8jX-iLaV8,9
FLAxAMG-1turno-2021,LquUFV6kJYs,3
FLAxACG-1turno-2021,9XIg_bpEnbc,19
FLAxSAN-1turno-2021,1YM30eFUCSs,18
FLAxCEA-1turno-2021,Bc-LdHrIDvs,17
FLAxINT-1turno-2021,sCuDQBanw0I,15
FLAxSAO-1turno-2021,m4_md7WJKgU,13
FLAxCAP-1turno-2021,XL_zou6fF70,4
FLAxCUI-1turno-2021,Dsd2lEx-dMA,8
FLAxJUV-1turno-2021,1wEcJsoCIxI,7
FLAxGRE-1turno-2021,bjAWCDspqRI,2
FLAxBAH-1turno-2021,_h1fr1hsXsI,12
FLAxSPT-1turno-2021,t8_RGGeV2Ck,16
FLAxCHA-1turno-2021,Meo4zFEPwjQ,11
PALxFOR-1turno-2021,IjVm5W3OCwY,15
PALxCOR-1turno-2021,Eg0tNdlVB-k,3
PALxRBB-1turno-2021,vKwjWZFzYkg,6
PALxFLU-1turno-2021,Rdtu37uekCU,13
PALxAMG-1turno-2021,BCbTluRLnNM,5
PALxACG-1turno-2021,g3St2C5IHew,12
PALxSAN-1turno-2021,rPrrHrbIzDM,11
PALxCEA-1turno-2021,_lF7EoMmTEw,19
PALxINT-1turno-2021,y3Owl08ifM0,8
PALxSAO-1turno-2021,8lPjCoPk8oY,14
PALxCAP-1turno-2021,KyA01MDX5wM,18
PALxCUI-1turno-2021,qgMzZv6FAew,17
PALxJUV-1turno-2021,XQ0XifjR9uQ,4
PALxGRE-1turno-2021,gM_HrfDlty4,10
PALxBAH-1turno-2021,qBXFQsRYcwE,7
PALxSPT-1turno-2021,kzoP72c59dM,9
PALxCHA-1turno-2021,K9DJ4K2IiIs,2
FORxCOR-1turno-2021,SQd9OdZ32do,11
FORxRBB-1turno-2021,tMSwi9U9ClM,13
FORxFLU-1turno-2021,9bBtELbOP2g,5
FORxAMG-1turno-2021,rhyqmt9GuU8,10
FORxACG-1turno-2021,m1NDyirKDXU,4
FORxSAN-1turno-2021,hXCFfoFYcZU,16
FORxCEA-1turno-2021,uri6rzQu0so,14
FORxINT-1turno-2021,OSDFPv1kMe4,2
FORxSAO-1turno-2021,NDX7FbESEEQ,12
FORxCAP-1turno-2021,nb6tO9Y74H8,9
FORxCUI-1turno-2021,T1IXGta9c74,18
FORxJUV-1turno-2021,LFgzIX4_xN8,17
FORxGRE-1turno-2021,-hf5_CjQoFQ,7
FORxBAH-1turno-2021,p72wbnt-Uws,19
FORxSPT-1turno-2021,X524eNVFHYA,3
FORxCHA-1turno-2021,VjZBNwocN5s,8
CORxRBB-1turno-2021,tMkCNA9LIuo,4
CORxFLU-1turno-2021,UJety0EceGo,7
CORxAMG-1turno-2021,75vedfgRTQQ,2
CORxACG-1turno-2021,oelrfIpH7-c,1
CORxSAN-1turno-2021,WyhKkNp0hz8,15
CORxCEA-1turno-2021,zJaUK3HerbY,16
CORxINT-1turno-2021,twSdZgVphr8,9
CORxSAO-1turno-2021,QFy_csQG_oA,8
CORxCAP-1turno-2021,s93GXOXp9UU,17
CORxCUI-1turno-2021,Fg-qiHCZu_c,13
CORxJUV-1turno-2021,5_mG9SPXhdQ,19
CORxGRE-1turno-2021,MIvB4No81HA,18
CORxBAH-1turno-2021,-9Uf0ExEYxc,5
CORxSPT-1turno-2021,wMZdSa7OezM,6
CORxCHA-1turno-2021,2MrQRGE6KsY,10
RBBxFLU-1turno-2021,4FnZu5oa2j0,3
RBBxAMG-1turno-2021,KKWFR50HQg8,17
RBBxACG-1turno-2021,juBulzczzgU,7
RBBxSAN-1turno-2021,vs67cT_E5z4,12
RBBxCEA-1turno-2021,tE3tXFg_M60,8
RBBxINT-1turno-2021,AYKy2frZjBg,19
RBBxSAO-1turno-2021,ZIE78GVnc4w,9
RBBxCAP-1turno-2021,b4Dmeihh5jY,11
RBBxCUI-1turno-2021,cEcqgSCpb5Y,10
RBBxJUV-1turno-2021,YyfIJTverys,16
RBBxGRE-1turno-2021,39cHfMy4voo,14
RBBxBAH-1turno-2021,p7nmV0U1MHY,2
RBBxSPT-1turno-2021,TqckZE83ZZI,15
RBBxCHA-1turno-2021,Hdcn6ukypz0,1
FLUxAMG-1turno-2021,fjT70kAu4bc,15
FLUxACG-1turno-2021,-xUPP5CqJWc,6
FLUxSAN-1turno-2021,_W1gxRxnI1M,4
FLUxCEA-1turno-2021,3pyxHqm4apo,10
