label,id,rodada,views
CAMxFLA-1turno-2021,OL0mCbsIxPo,10,1856607
CAMxPAL-1turno-2021,iuoMGv3BMrI,16,1641810
CAMxFOR-1turno-2021,YbEWNG7APXQ,1,525165
CAMxCOR-1turno-2021,HsMLbUObiaw,12,1671822
CAMxRBB-1turno-2021,SMkM5s2g02c,18,1583449
CAMxFLU-1turno-2021,2nSJKKP5vjo,17,890938
CAMxAMG-1turno-2021,axaWk1aEac0,11,352079
CAMxACG-1turno-2021,gg43fZJi2pA,8,825985
CAMxSAN-1turno-2021,XhYm-YF-REA,7,607756
CAMxCEA-1turno-2021,Ao-Iz5w1Y2U,6,611915
CAMxINT-1turno-2021,ZVFH1l_enr4,4,248815
CAMxSAO-1turno-2021,vkeRD_RG1ZY,3,248878
CAMxCAP-1turno-2021,h4hKFuvZy60,14,469948
CAMxCUI-1turno-2021,RC3tyanXxtQ,9,306958
CAMxJUV-1turno-2021,mGEWZtkCPkQ,15,593459
CAMxGRE-1turno-2021,omVrn8xu4w4,19,1693926
CAMxBAH-1turno-2021,Vf3zAF-UfUw,13,1091964
CAMxSPT-1turno-2021,1GSAk5fXeQs,2,150255
CAMxCHA-1turno-2021,3KaScgjSH_0,5,185751
FLAxPAL-1turno-2021,T9V4_u2zTiE,1,1345150
FLAxFOR-1turno-2021,9kf9J0_jtc0,6,944795
FLAxCOR-1turno-2021,EQ7Xtny45b4,14,2453457
FLAxRBB-1turno-2021,s780c6fctyg,5,841315
FLAxFLU-1turno-2021,iR8jX-iLaV8,9,995373
FLAxAMG-1turno-2021,LquUFV6kJYs,3,631723
FLAxACG-1turno-2021,9XIg_bpEnbc,19,2601500
FLAxSAN-1turno-2021,1YM30eFUCSs,18,3983713
FLAxCEA-1turno-2021,Bc-LdHrIDvs,17,833439
FLAxINT-1turno-2021,sCuDQBanw0I,15,3232628
FLAxSAO-1turno-2021,m4_md7WJKgU,13,7139759
FLAxCAP-1turno-2021,XL_zou6fF70,4,2738933
FLAxCUI-1turno-2021,Dsd2lEx-dMA,8,1087898
FLAxJUV-1turno-2021,1wEcJsoCIxI,7,1148813
FLAxGRE-1turno-2021,bjAWCDspqRI,2,2269968
FLAxBAH-1turno-2021,_h1fr1hsXsI,12,3996996
FLAxSPT-1turno-2021,t8_RGGeV2Ck,16,1046006
FLAxCHA-1turno-2021,Meo4zFEPwjQ,11,1924980
PALxFOR-1turno-2021,IjVm5W3OCwY,15,1465273
PALxCOR-1turno-2021,Eg0tNdlVB-k,3,686260
PALxRBB-1turno-2021,vKwjWZFzYkg,6,564615
PALxFLU-1turno-2021,Rdtu37uekCU,13,820808
PALxAMG-1turno-2021,BCbTluRLnNM,5,450578
PALxACG-1turno-2021,g3St2C5IHew,12,918432
PALxSAN-1turno-2021,rPrrHrbIzDM,11,1182340
PALxCEA-1turno-2021,_lF7EoMmTEw,19,738436
PALxINT-1turno-2021,y3Owl08ifM0,8,1246471
PALxSAO-1turno-2021,8lPjCoPk8oY,14,1093242
PALxCAP-1turno-2021,KyA01MDX5wM,18,693223
PALxCUI-1turno-2021,qgMzZv6FAew,17,1047336
PALxJUV-1turno-2021,XQ0XifjR9uQ,4,637986
PALxGRE-1turno-2021,gM_HrfDlty4,10,924195
PALxBAH-1turno-2021,qBXFQsRYcwE,7,776030
