label,id,rodada,views
cuixbot-1turno-2023,mB2lDn43xRs,11,265497
braxfla-1turno-2023,2S-m_HySl04,11,1356562
capxcor-1turno-2023,qxNulbdWAvg,12,241351
fluxbah-1turno-2023,vH0q9g5CA8g,12,485351
forxcam-1turno-2023,h9HlsKo1vRo,12,457504
cruxsao-1turno-2023,ql__UfFI0jU,12,708880
palxbot-1turno-2023,rxnFFj8pxXU,12,976947
grexcor-1turno-2023,754NaPM6xxc,12,732506
amgxint-1turno-2023,jusoT-jenSQ,12,269872
sanxfla-1turno-2023,5FXvX2mPjP0,12,1453486
braxgoi-1turno-2023,9faykKm-NNo,12,96082
vasxcui-1turno-2023,qkwZ9LlhqII,12,542538
saoxflu-1turno-2023,OtJbR5NLgJ4,13,1018310
flaxfor-1turno-2023,rxUzegPiKYM,13,1602075
bahxgre-1turno-2023,aNusHZp-F7s,13,617460
intxcru-1turno-2023,lsbwNZGBNJs,13,273964
corxbra-1turno-2023,2mvyQ2ozRTA,13,541264
camxamg-1turno-2023,OYSv4ocKJes,13,443838
capxpal-1turno-2023,esOxZyD0Yxo,13,571932
botxvas-1turno-2023,GwD4J7d6mLw,13,689634
cuixsan-1turno-2023,kjzwhedD_9U,13,288884
goixcrc-1turno-2023,sFkliCCl-h8,13,272472
cuixbah-1turno-2023,mZ4uAAjH9gg,14,176549
vasxcru-1turno-2023,VBlP7vvT9SM,14,348477
camxcor-1turno-2023,2Pbxo4mFLb8,14,955410
cfcxamg-1turno-2023,vfWEXQmCzzk,14,249001
palxfla-1turno-2023,37ieZKq9gnQ,14,2401789
sanxgoi-1turno-2023,UxI5XJQszT8,14,728923
braxsao-1turno-2023,JHdl_MaaWbg,14,189046
fluxint-1turno-2023,qkm0_n9vszo,14,474587
grexbot-1turno-2023,2ffAdoUFPpE,14,1170189
forxcap-1turno-2023,llJrTI6Jr-g,14,261249
botxbra-1turno-2023,drj1gETgY-A,15,657874
cruxcfc-1turno-2023,nMcN5IPljwY,15,224666
forxcui-1turno-2023,F5VWycfkjyo,15,190232
fluxfla-1turno-2023,2g3TEib0n-k,15,932018
saoxsan-1turno-2023,WW_18mkXHjo,15,1751851
intxpal-1turno-2023,_9jlaY7gRfc,15,406546
capxbah-1turno-2023,DYsEAkrAm68,15,107157
goixcam-1turno-2023,cBYZ5qCbmTQ,15,172806
palxfor-1turno-2023,FJ9otO4al7w,16,674928
flaxamg-1turno-2023,sr2T7GZeCP8,16,830824
bahxcor-1turno-2023,uq-pmKZSl3Q,16,428059
cuixsao-1turno-2023,MLo5zDcCUNs,16,561320
grexcam-1turno-2023,p5M4WqU91Hw,16,702041
braxint-1turno-2023,M_DVQtTK3HE,16,130447
cruxgoi-1turno-2023,kTrbM2YT1Ek,16,208247
sanxbot-1turno-2023,hOTWykI0364,16,701406
vasxcap-1turno-2023,51SHWOapQ_w,16,514337
cfcxflu-1turno-2023,5d5WxkaUJjo,16,379827
fluxsan-1turno-2023,pfABJ30vQw8,17,361055
intxcui-1turno-2023,EsU0LVwN9rQ,17,537963
forxbra-1turno-2023,G6IMDUbjw0M,17,214239
corxvas-1turno-2023,iReFc_gwOi4,17,1466288
capxcru-1turno-2023,3vDMkYk8M7Y,17,120207
camxfla-1turno-2023,3VWzL0bOYfg,17,3139813
saoxbah-1turno-2023,24HhvqAKmUA,17,312841
amgxpal-1turno-2023,-vNO-ugZB4M,17,634879
botxcor-1turno-2023,0OWGvwwY1BM,17,1014371
goixgre-1turno-2023,7NTn6Gsim18,17,245401
sanxcap-1turno-2023,HVYSgqMs6eo,18,224990
intxcor-1turno-2023,lchnVMCLGKs,18,986355
goixfor-1turno-2023,rcBCrwJmgdI,18,144948
fluxpal-1turno-2023,CyGLFmlO7PU,18,1073556
vasxgre-1turno-2023,CWp78UoAow8,18,868748
saoxcam-1turno-2023,Fz1pCBWVEzU,18,997811
cruxbot-1turno-2023,PpTsEJBuEbc,18,325334
corxbra-1turno-2023,QXZnxsbxP2I,18,77024
cuixfla-1turno-2023,NeAq068msrk,18,1128326
bahxamg-1turno-2023,Ox-nkfqPuZI,18,233962
botxint-1turno-2023,9IVLwIucagc,19,1456173
camxbah-1turno-2023,ririyaOGla0,19,312819
amgxgoi-1turno-2023,yuqSzNDzJgI,19,83211
grexflu-1turno-2023,prqFVF1G8qg,19,681673
corxcfc-1turno-2023,tkg-tDMu3A0,19,1032004
forxsan-1turno-2023,6U6rSYRv9EQ,19,644398
flaxsao-1turno-2023,8v4JtoNq_yg,19,1622925
palxcru-1turno-2023,8QG-PFHCsoQ,19,538732
braxvas-1turno-2023,D1W9DUk-x-I,19,311608
capxcui-1turno-2023,9zJuFDDwvrQ,19,95937
intxfor-2turno-2023,z_1I4_aM7Cg,20,277088
saoxbot-2turno-2023,9gfyGApWGBY,20,459730
cuixpal-2turno-2023,DFM35bBMtng,20,597351
fluxamg-2turno-2023,2rcK6pBk92c,20,325595
cruxcor-2turno-2023,aBwgIsuVFzY,20,927591
vasxcam-2turno-2023,NQ1jRkjQ_q0,20,713912
corxfla-2turno-2023,7osEfcMom6A,20,1472061
sanxgre-2turno-2023,aiyw-Ivlt6I,20,777224
bahxbra-2turno-2023,SACcFEpRqCo,20,347893
goixcap-2turno-2023,WjpLMB_DysM,20,166552
flaxint-2turno-2023,9GmVqKSK4SE,21,509239
corxgoi-2turno-2023,v29iiPP8Khc,21,668344
braxcui-2turno-2023,ZvxT9R8CatM,21,110841
botxbah-2turno-2023,YkndJ196Ci0,21,552833
